iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
HGD,YHUG,small_airport,Hughenden Airport,Hughenden,AU-QLD,Queensland,AU,Australia,-20.815001,144.225006,15
IVR,YIVL,medium_airport,Inverell Airport,Inverell,AU-NSW,New South Wales,AU,Australia,-29.888299942,151.143997192,20
JCK,YJLC,small_airport,Julia Creek Airport,,AU-QLD,Queensland,AU,Australia,-20.66830062866211,141.72300720214844,15
KQR,YKAR,small_airport,Karara Airport,Karara,AU-WA,Western Australia,AU,Australia,-29.217223,116.687154,15
KAX,YKBR,small_airport,Kalbarri Airport,Kalbarri,AU-WA,Western Australia,AU,Australia,-27.692813,114.259169,15
KRA,YKER,medium_airport,Kerang Airport,,AU-VIC,Victoria,AU,Australia,-35.751399993896484,143.93899536132812,20
KNS,YKII,medium_airport,King Island Airport,,AU-TAS,Tasmania,AU,Australia,-39.877498626708984,143.8780059814453,25
KFG,YKKG,small_airport,Kalkgurung Airport,,AU-NT,Northern Territory,AU,Australia,-17.431900024414062,130.80799865722656,15
KRB,YKMB,small_airport,Karumba Airport,,AU-QLD,Queensland,AU,Australia,-17.45669937133789,140.8300018310547,15
KPS,YKMP,medium_airport,Kempsey Airport,,AU-NSW,New South Wales,AU,Australia,-31.07232,152.765313,20
KWM,YKOW,medium_airport,Kowanyama Airport,Kowanyama,AU-QLD,Queensland,AU,Australia,-15.485369,141.752572,25
KGY,YKRY,medium_airport,Kingaroy Airport,,AU-QLD,Queensland,AU,Australia,-26.581077,151.839927,20
KGC,YKSC,medium_airport,Kingscote Airport,,AU-SA,South Australia,AU,Australia,-35.71390151977539,137.52099609375,25
KUG,YKUB,small_airport,Kubin Island Airport,Kubin Island,AU-QLD,Queensland,AU,Australia,-10.22648,142.219619,15
LGH,YLEC,medium_airport,Leigh Creek Airport,,AU-SA,South Australia,AU,Australia,-30.598301,138.425995,20
LNO,YLEO,medium_airport,Leonora Airport,Leonora,AU-WA,Western Australia,AU,Australia,-28.87809944152832,121.31500244140625,25
LEL,YLEV,small_airport,Lake Evella Airport,,AU-NT,Northern Territory,AU,Australia,-12.498900413513184,135.80599975585938,15
LDH,YLHI,small_airport,Lord Howe Island Airport,Lord Howe Island,AU-NSW,New South Wales,AU,Australia,-31.538204,159.07546,15
